省级	地市级	区划代码	地名	区划级别	省会	批注
晋		140927	神池县	县区		
晋		140928	五寨县	县区		
晋		140929	岢岚县	县区		
晋		140930	河曲县	县区		
晋		140931	保德县	县区		
晋		140932	偏关县	县区		
晋		140981	原平市	县区		
晋	临汾市	141000	临汾市	地市级		
晋		141002	尧都区	县区		
晋		141021	曲沃县	县区		
晋		141022	翼城县	县区		
晋		141023	襄汾县	县区		
晋		141024	洪洞县	县区		
晋		141025	古县	县区		
晋		141026	安泽县	县区		
晋		141027	浮山县	县区		
晋		141028	吉县	县区		
晋		141029	乡宁县	县区		
晋		141030	大宁县	县区		
晋		141031	隰县	县区		
晋		141032	永和县	县区		
晋		141033	蒲县	县区		
晋		141034	汾西县	县区		
晋		141081	侯马市	县区		
晋		141082	霍州市	县区		
晋	吕梁市	141100	吕梁市	地市级		
晋		141102	离石区	县区		
晋		141121	文水县	县区		
晋		141122	交城县	县区		
晋		141123	兴县	县区		
晋		141124	临县	县区		
晋		141125	柳林县	县区		
晋		141126	石楼县	县区		
晋		141127	岚县	县区		
晋		141128	方山县	县区		
晋		141129	中阳县	县区		
晋		141130	交口县	县区		
晋		141181	孝义市	县区		
晋		141182	汾阳市	县区		
蒙		150000	内蒙古自治区	省级		
蒙	呼和浩特市	150100	呼和浩特市	地市级	√	
蒙		150102	新城区	县区		
蒙		150103	回民区	县区		
蒙		150104	玉泉区	县区		
蒙		150105	赛罕区	县区		
蒙		150121	土默特左旗	县区		
蒙		150122	托克托县	县区		
蒙		150123	和林格尔县	县区		
蒙		150124	清水河县	县区		
蒙		150125	武川县	县区		
蒙	包头市	150200	包头市	地市级		
蒙		150202	东河区	县区		
蒙		150203	昆都仑区	县区		
蒙		150204	青山区	县区		
蒙		150205	石拐区	县区		
蒙		150206	白云鄂博矿区	县区		
蒙		150207	九原区	县区		
蒙		150221	土默特右旗	县区		
蒙		150222	固阳县	县区		
蒙		150223	达尔罕茂明安联合旗	县区		
蒙	乌海市	150300	乌海市	地市级		
蒙		150302	海勃湾区	县区		
蒙		150303	海南区	县区		
蒙		150304	乌达区	县区		
蒙	赤峰市	150400	赤峰市	地市级		
蒙		150402	红山区	县区		
蒙		150403	元宝山区	县区		
蒙		150404	松山区	县区		
蒙		150421	阿鲁科尔沁旗	县区		
蒙		150422	巴林左旗	县区		
